model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
catboost,catboost_balanced,Balanced performance and speed (recommended),all,419.09741955985845,694.089635877862,1.0062805179589023,1.0103037531390466,0.21695449095865532,4.402714967727661
lightgbm,lightgbm_deep,Deep leaf-wise trees,all,439.8467809880546,682.9985716448033,1.0682893625117158,1.0701456045384148,0.22769582921623552,13.436851978302002
catboost,catboost_demand_optimized,Optimized for demand patterns,demand_focused,440.63442230405093,736.2891929296927,1.0559691846428914,1.0609792159670162,0.2281035681160585,3.121981143951416
catboost,catboost_deep,Deep trees for complex patterns,all,446.6737703839748,764.1646398435936,1.050758911424419,1.0581563631374045,0.2312299621887733,9.471166849136353
lightgbm,lightgbm_price_optimized,Optimized for price prediction,price_focused,449.11976786268815,697.5960002096725,1.0928085335149689,1.0945963978044977,0.2324961836282604,6.989490985870361
lightgbm,lightgbm_demand_optimized,Optimized for demand patterns,demand_focused,449.9365397575949,681.1919912165105,1.1007573320647002,1.10147064615563,0.23291900257778994,5.625931024551392
lightgbm,lightgbm_balanced,Balanced LightGBM (recommended),all,450.64554223772285,689.3566059639153,1.1038062951130039,1.1039989881175416,0.2332860324495704,6.217043161392212
catboost,catboost_price_optimized,Optimized for price volatility,price_focused,452.21677139951396,737.7504249971448,1.0733671925912676,1.079673244847558,0.23409941188610758,4.062551021575928
lightgbm,lightgbm_light,Fast LightGBM with leaf-wise growth,top_50,457.9120418559751,693.3264295727743,1.1234659736772603,1.1248310095348089,0.23704768702474016,1.9361777305603027
catboost,catboost_light,Fast training with shallow trees,top_50,473.4343454573326,724.9420975973223,1.1591161529002647,1.160647183203856,0.24508313014408686,1.6984319686889648
prophet,prophet_light,"Conservative, low-variance Prophet",prophet_minimal,2078.844139014389,2646.4397120827475,5.664734436676076,5.431809779125203,1.076156881223254,16.31138586997986
prophet,prophet_demand_optimized,Prophet for demand with weather focus,prophet_weather,7957.199444694147,8664.966183293718,20.352689204365674,18.15681809675107,4.119209697814767,26.06654405593872
prophet,prophet_balanced,Standard Prophet (recommended),prophet_standard,8034.35991183342,8744.040798770311,20.54700246077888,18.314409532926078,4.159153417553997,25.80500078201294
prophet,prophet_price_optimized,Prophet for price with consumption regressor,prophet_price,9764.043300211162,10542.293419270307,24.889652335332954,21.75310212066062,5.0545599782511275,26.952475786209106
prophet,prophet_flexible,Flexible Prophet with strong seasonality,prophet_extended,12606.22523887082,13525.161815282552,32.03640492250245,27.11125290914776,6.52587453886421,30.589624643325806
