model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
lightgbm,lightgbm_deep,Deep leaf-wise trees,all,455.3338622571522,717.8497959761471,1.0895917386803586,1.0945571652735797,0.23571303876312585,10.93203091621399
catboost,catboost_demand_optimized,Optimized for demand patterns,demand_focused,457.90315598250436,744.7924857031809,1.0885667720002297,1.0948773232422553,0.23704308706762856,5.267110109329224
catboost,catboost_price_optimized,Optimized for price volatility,price_focused,463.22126261654853,761.3550619548587,1.0961651067715001,1.1032795646392943,0.2397961155135317,7.043004035949707
lightgbm,lightgbm_balanced,Balanced LightGBM (recommended),all,466.541679343722,731.4389117954902,1.119263973499287,1.1242655419501444,0.24151499825342326,4.009773015975952
catboost,catboost_balanced,Balanced performance and speed (recommended),all,468.2156200297207,754.339329953089,1.1134075603883737,1.1198412286391397,0.24238154844551757,3.8181850910186768
lightgbm,lightgbm_price_optimized,Optimized for price prediction,price_focused,468.32291581832993,737.6543915306792,1.1216042434317957,1.1267009242686576,0.24243709234083471,6.843655109405518
catboost,catboost_deep,Deep trees for complex patterns,all,473.2139920485892,779.5233660514957,1.1126197936322304,1.120625546757727,0.2449690596215932,14.621847152709961
lightgbm,lightgbm_demand_optimized,Optimized for demand patterns,demand_focused,475.0208659614723,746.1871047652488,1.139008080145809,1.143872135470468,0.24590442546184993,3.1613218784332275
lightgbm,lightgbm_light,Fast LightGBM with leaf-wise growth,top_50,489.255086671837,753.0178824424211,1.1807532780287777,1.1858385443304162,0.25327306569746283,1.8915479183197021
catboost,catboost_light,Fast training with shallow trees,top_50,526.3643789915947,812.7819006714583,1.2757006821775827,1.281037289123343,0.2724834622528133,1.1336331367492676
prophet,prophet_light,"Conservative, low-variance Prophet",prophet_minimal,2072.8016669841813,2639.208061161627,5.646437348370884,5.4158087137869035,1.0730288699727377,18.391584157943726
prophet,prophet_balanced,Standard Prophet (recommended),prophet_standard,8233.077213621496,8941.486281784864,21.0476672375142,18.72176592208702,4.262023559535274,27.892779111862183
prophet,prophet_demand_optimized,Prophet for demand with weather focus,prophet_weather,8309.031356083038,9021.392274848035,21.237708926898808,18.874219874078708,4.301342800229361,29.753871202468872
prophet,prophet_price_optimized,Prophet for price with consumption regressor,prophet_price,10237.145067740124,11031.492260481946,26.078949663459056,22.673085118613155,5.299470942517339,30.00939393043518
prophet,prophet_flexible,Flexible Prophet with strong seasonality,prophet_extended,13410.88040934663,14368.027213088542,34.063676596413664,28.570070523508555,6.942421014123277,27.93838596343994
