model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
catboost,catboost_demand_optimized,Optimized for demand patterns,demand_focused,426.948621953907,697.7084607412953,1.0281921165994237,1.0319933090948854,0.22101882907985648,7.49891471862793
catboost,catboost_balanced,Balanced performance and speed (recommended),all,432.59156366751824,707.0798283417118,1.0410730891693607,1.0447133106028292,0.22394001515700204,7.621361255645752
xgboost,xgboost_balanced,Standard XGBoost (recommended),all,434.54645568054065,656.9810019378557,1.0610502673838693,1.0623503248321733,0.22495200564362886,4.175252437591553
lightgbm,lightgbm_deep,Deep leaf-wise trees,all,435.82230592850675,675.3316633267611,1.0597388535276961,1.061310089481657,0.2256124760454215,7.403830051422119
catboost,catboost_price_optimized,Optimized for price volatility,price_focused,436.90722414016676,726.293069325607,1.0415574101312255,1.0470152313537595,0.2261741065097409,11.026195764541626
lightgbm,lightgbm_price_optimized,Optimized for price prediction,price_focused,439.54838062518064,692.2576252102162,1.0676993779228885,1.0697477007019756,0.22754135606558432,4.280915021896362
xgboost,xgboost_price_optimized,Handles price spikes better,price_focused,443.2934158015813,694.6468656198766,1.0698290983073713,1.0736402091529698,0.22948005137220676,4.790440082550049
xgboost,xgboost_deep,Deep trees with more estimators,all,444.0600364466224,704.494517162595,1.0661683675782008,1.0708660181051481,0.2298769084847558,7.46395468711853
xgboost,xgboost_light,"Fast, regularized model",top_50,444.4074795083219,668.6695547130591,1.0909474175738647,1.0920428108243263,0.23005676960789823,1.8471288681030273
xgboost,xgboost_demand_optimized,Focus on temporal + weather patterns,demand_focused,444.9615687170056,671.0640911241131,1.0872396869138758,1.0886184479662981,0.2303436054045536,2.6629669666290283
lightgbm,lightgbm_balanced,Balanced LightGBM (recommended),all,445.7200131491493,675.7966997723199,1.0947208076547155,1.0946652453583865,0.23073622993053844,3.0526492595672607
lightgbm,lightgbm_light,Fast LightGBM with leaf-wise growth,top_50,458.704419485908,696.0359309408991,1.1220104852299584,1.1241486440840645,0.23745787777592556,1.0394668579101562
catboost,catboost_deep,Deep trees for complex patterns,all,463.45272999945513,772.8535403601418,1.0895479801382069,1.0971437736652843,0.23991593941577566,22.953498363494873
lightgbm,lightgbm_demand_optimized,Optimized for demand patterns,demand_focused,464.21400279882755,699.0521121704392,1.1397967959482425,1.139384362616766,0.24031002810484936,5.244797706604004
catboost,catboost_light,Fast training with shallow trees,top_50,488.1648672779889,765.1699726658901,1.1886000280866404,1.1925453394015881,0.2527086909659888,2.2484471797943115
prophet,prophet_light,"Conservative, low-variance Prophet",prophet_minimal,2069.218715419355,2634.604495720054,5.635912073008294,5.406591970120577,1.0711740806168575,50.80687165260315
prophet,prophet_demand_optimized,Prophet for demand with weather focus,prophet_weather,8225.374127075745,8938.45189105989,21.026611432350677,18.70301935860434,4.258035896661809,83.17419075965881
prophet,prophet_balanced,Standard Prophet (recommended),prophet_standard,8547.166802499314,9270.641410147058,21.83570973254832,19.352017858175287,4.424618564157266,77.58608150482178
prophet,prophet_price_optimized,Prophet for price with consumption regressor,prophet_price,10221.502796084153,11014.607838351507,26.040806969080922,22.643857627906158,5.291373395440761,86.37838101387024
prophet,prophet_flexible,Flexible Prophet with strong seasonality,prophet_extended,12474.674923194545,13384.77521283222,31.706244793864137,26.872322089179356,6.457774783435102,94.71031212806702
