model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
catboost,catboost_demand_optimized,Optimized for demand patterns,demand_focused,446.56690234271804,725.9340768311918,1.0630057307595948,1.0692345887632462,0.2311746397257647,4.630791902542114
catboost,catboost_balanced,Balanced performance and speed (recommended),all,449.1426182218041,733.5486899391036,1.0665083112019342,1.073094269012913,0.23250801259164425,4.517122030258179
lightgbm,lightgbm_deep,Deep leaf-wise trees,all,455.34910350895416,718.0680064714714,1.0896178408014852,1.0945883475381173,0.23572092871393904,10.91827392578125
lightgbm,lightgbm_balanced,Balanced LightGBM (recommended),all,466.53955898863865,731.4431966672558,1.119262928942273,1.1242639256540017,0.2415139006075388,3.920477867126465
lightgbm,lightgbm_price_optimized,Optimized for price prediction,price_focused,468.2472540345276,737.5526098411812,1.1214416970264909,1.1265344763076306,0.2423979244456778,6.896077871322632
catboost,catboost_deep,Deep trees for complex patterns,all,471.60566036889134,789.2942095993088,1.1088315714071388,1.1167196476250485,0.2441364732954164,13.887469053268433
catboost,catboost_price_optimized,Optimized for price volatility,price_focused,471.9904023522081,775.7722172398644,1.1104634434590535,1.1180988687160394,0.24433564298066182,8.789084911346436
lightgbm,lightgbm_demand_optimized,Optimized for demand patterns,demand_focused,475.233259284731,746.8818214927744,1.1394155045002303,1.1443010238915923,0.24601437528062714,3.155654191970825
lightgbm,lightgbm_light,Fast LightGBM with leaf-wise growth,top_50,489.2563268104711,753.0077693359965,1.180741358774759,1.1858258573425366,0.2532737076810054,1.8522710800170898
catboost,catboost_light,Fast training with shallow trees,top_50,494.87345485961873,779.1097067609184,1.1940349079800725,1.1990947395672849,0.2561815307781561,1.6698472499847412
prophet,prophet_light,"Conservative, low-variance Prophet",prophet_minimal,2085.1326083969766,2654.4309980631156,5.683569613299704,5.448209146244417,1.0794122381167448,24.213576078414917
prophet,prophet_balanced,Standard Prophet (recommended),prophet_standard,7926.528721121639,8634.35639599774,20.275595680993483,18.093932914146894,4.103332360209121,29.514594793319702
prophet,prophet_demand_optimized,Prophet for demand with weather focus,prophet_weather,8195.98781146933,8909.00931619948,20.953360075228964,18.643303086612402,4.242823459538631,23.656675815582275
prophet,prophet_price_optimized,Prophet for price with consumption regressor,prophet_price,9715.413397677521,10490.917766370152,24.767273751200083,21.658462594620158,5.029385698341136,26.633509159088135
prophet,prophet_flexible,Flexible Prophet with strong seasonality,prophet_extended,13612.153008666623,14581.351964361584,34.57045806200858,28.929390330430245,7.046613958988588,30.036616802215576
